#,ID,Year,Subject,Credit,Section,Student,Day,Time,Teacher
1,88510159,59,"Moving Forward in a Digital Society with ICT
รหัส 60 นิติศาสตร์/การเงิน/ธุรกิจระหว่างประเทศ/การจัดการทรัพยากรมนุษย์/การจัดการ/การตลาด/สธ.อนามัยฯ",3 (2-2-5),1,46,"MO
MO","08:00-09:50  K-C300
10:00-11:50  IF-3C02","ผู้ช่วยศาสตราจารย์วิชัย บุญเจือ, นางสาวทัศนีย์ รอดมั่นคง"
2,88510159,59,"Moving Forward in a Digital Society with ICT
รหัส 60 นิติศาสตร์/การเงิน/ธุรกิจระหว่างประเทศ/การจัดการทรัพยากรมนุษย์/การจัดการ/การตลาด/สธ.อนามัยฯ",3 (2-2-5),2,45,"MO
MO","08:00-09:50  K-C300
10:00-11:50  IF-3C01","ผู้ช่วยศาสตราจารย์วิชัย บุญเจือ, นางสาวทัศนีย์ รอดมั่นคง"
3,88510159,59,"Moving Forward in a Digital Society with ICT
รหัส 60 นิติศาสตร์/การเงิน/ธุรกิจระหว่างประเทศ/การจัดการทรัพยากรมนุษย์/การจัดการ/การตลาด/สธ.อนามัยฯ",3 (2-2-5),3,51,"MO
MO","08:00-09:50  K-C300
10:00-11:50  IF-3C03","ผู้ช่วยศาสตราจารย์วิชัย บุญเจือ, นางสาวทัศนีย์ รอดมั่นคง"
4,88510159,59,"Moving Forward in a Digital Society with ICT
รหัส 60 นิติศาสตร์/การเงิน/ธุรกิจระหว่างประเทศ/การจัดการทรัพยากรมนุษย์/การจัดการ/การตลาด/สธ.อนามัยฯ",3 (2-2-5),4,48,"MO
MO","08:00-09:50  K-C300
10:00-11:50  IF-3C04","ผู้ช่วยศาสตราจารย์วิชัย บุญเจือ, นางสาวทัศนีย์ รอดมั่นคง"
5,88510159,59,"Moving Forward in a Digital Society with ICT
รหัส 59 รัฐศาสตร์/บริหารทั่วไป",3 (2-2-5),5,57,"TU
TU","08:00-09:50  QS1-3001
10:00-11:50  IF-3C02","ผู้ช่วยศาสตราจารย์วิชัย บุญเจือ, อาจารย์อรรถนิติ วงศ์จักร์"
6,88510159,59,"Moving Forward in a Digital Society with ICT
รหัส 59 รัฐศาสตร์/บริหารทั่วไป",3 (2-2-5),6,55,"TU
TU","08:00-09:50  QS1-3001
10:00-11:50  IF-3C03","ผู้ช่วยศาสตราจารย์วิชัย บุญเจือ, อาจารย์อรรถนิติ วงศ์จักร์"
7,88510159,59,"Moving Forward in a Digital Society with ICT
รหัส 59 รัฐศาสตร์/บริหารทั่วไป",3 (2-2-5),7,63,"TU
TU","08:00-09:50  QS1-3001
10:00-11:50  IF-3C01","ผู้ช่วยศาสตราจารย์วิชัย บุญเจือ, อาจารย์อรรถนิติ วงศ์จักร์"
8,88510159,59,"Moving Forward in a Digital Society with ICT
รหัส 59 รัฐศาสตร์/บริหารทั่วไป",3 (2-2-5),8,58,"TU
TU","08:00-09:50  QS1-3001
10:00-11:50  IF-3C04","ผู้ช่วยศาสตราจารย์วิชัย บุญเจือ, อาจารย์อรรถนิติ วงศ์จักร์"
9,88510159,59,"Moving Forward in a Digital Society with ICT
รหัส 60 การจัดการบริการสังคม",3 (2-2-5),9,52,"WE
WE","08:00-09:50  K-C300
10:00-11:50  IF-3C02","อาจารย์จรรยา อ้นปันส์, อาจารย์อรรถนิติ วงศ์จักร์"
10,88510159,59,"Moving Forward in a Digital Society with ICT
รหัส 59 การจัดการโรงแรม/การจัดการท่องเที่ยว",3 (2-2-5),10,55,"WE
WE","08:00-09:50  K-C300
10:00-11:50  IF-3C01","อาจารย์จรรยา อ้นปันส์, อาจารย์อรรถนิติ วงศ์จักร์"
